chr1 Control
chr1 Ctcf
chr1 H2az
chr1 H3k27ac
chr1 H3k27me3
chr1 H3k36me3
chr1 H3k4me1
chr1 H3k4me2
chr1 H3k4me3
chr1 H3k79me2
chr1 H3k9ac
chr1 H3k9me3
chr1 H4k20me1
chr1 InputV2
chr1 Nsome
chr1 OpenChromDnaseV2
chr1 Pol2RawData
chr2 Control
chr2 Ctcf
chr2 H2az
chr2 H3k27ac
chr2 H3k27me3
chr2 H3k36me3
chr2 H3k4me1
chr2 H3k4me2
chr2 H3k4me3
chr2 H3k79me2
chr2 H3k9ac
chr2 H3k9me3
chr2 H4k20me1
chr2 InputV2
chr2 Nsome
chr2 OpenChromDnaseV2
chr2 Pol2RawData
chr3 Control
chr3 Ctcf
chr3 H2az
chr3 H3k27ac
chr3 H3k27me3
chr3 H3k36me3
chr3 H3k4me1
chr3 H3k4me2
chr3 H3k4me3
chr3 H3k79me2
chr3 H3k9ac
chr3 H3k9me3
chr3 H4k20me1
chr3 InputV2
chr3 Nsome
chr3 OpenChromDnaseV2
chr3 Pol2RawData
chr3 Control
chr3 Ctcf
chr3 H2az
chr3 H3k27ac
chr3 H3k27me3
chr3 H3k36me3
chr3 H3k4me1
chr3 H3k4me2
chr3 H3k4me3
chr3 H3k79me2
chr3 H3k9ac
chr3 H3k9me3
chr3 H4k20me1
chr3 InputV2
chr3 Nsome
chr3 OpenChromDnaseV2
chr3 Pol2RawData
chr4 Control
chr4 Ctcf
chr4 H2az
chr4 H3k27ac
chr4 H3k27me3
chr4 H3k36me3
chr4 H3k4me1
chr4 H3k4me2
chr4 H3k4me3
chr4 H3k79me2
chr4 H3k9ac
chr4 H3k9me3
chr4 H4k20me1
chr4 InputV2
chr4 Nsome
chr4 OpenChromDnaseV2
chr4 Pol2RawData
chr5 Control
chr5 Ctcf
chr5 H2az
chr5 H3k27ac
chr5 H3k27me3
chr5 H3k36me3
chr5 H3k4me1
chr5 H3k4me2
chr5 H3k4me3
chr5 H3k79me2
chr5 H3k9ac
chr5 H3k9me3
chr5 H4k20me1
chr5 InputV2
chr5 Nsome
chr5 OpenChromDnaseV2
chr5 Pol2RawData
chr6 Control
chr6 Ctcf
chr6 H2az
chr6 H3k27ac
chr6 H3k27me3
chr6 H3k36me3
chr6 H3k4me1
chr6 H3k4me2
chr6 H3k4me3
chr6 H3k79me2
chr6 H3k9ac
chr6 H3k9me3
chr6 H4k20me1
chr6 InputV2
chr6 Nsome
chr6 OpenChromDnaseV2
chr6 Pol2RawData
chr7 Control
chr7 Ctcf
chr7 H2az
chr7 H3k27ac
chr7 H3k27me3
chr7 H3k36me3
chr7 H3k4me1
chr7 H3k4me2
chr7 H3k4me3
chr7 H3k79me2
chr7 H3k9ac
chr7 H3k9me3
chr7 H4k20me1
chr7 InputV2
chr7 Nsome
chr7 OpenChromDnaseV2
chr7 Pol2RawData
chr8 Control
chr8 Ctcf
chr8 H2az
chr8 H3k27ac
chr8 H3k27me3
chr8 H3k36me3
chr8 H3k4me1
chr8 H3k4me2
chr8 H3k4me3
chr8 H3k79me2
chr8 H3k9ac
chr8 H3k9me3
chr8 H4k20me1
chr8 InputV2
chr8 Nsome
chr8 OpenChromDnaseV2
chr8 Pol2RawData
chr9 Control
chr9 Ctcf
chr9 H2az
chr9 H3k27ac
chr9 H3k27me3
chr9 H3k36me3
chr9 H3k4me1
chr9 H3k4me2
chr9 H3k4me3
chr9 H3k79me2
chr9 H3k9ac
chr9 H3k9me3
chr9 H4k20me1
chr9 InputV2
chr9 Nsome
chr9 OpenChromDnaseV2
chr9 Pol2RawData
chr10 Control
chr10 Ctcf
chr10 H2az
chr10 H3k27ac
chr10 H3k27me3
chr10 H3k36me3
chr10 H3k4me1
chr10 H3k4me2
chr10 H3k4me3
chr10 H3k79me2
chr10 H3k9ac
chr10 H3k9me3
chr10 H4k20me1
chr10 InputV2
chr10 Nsome
chr10 OpenChromDnaseV2
chr10 Pol2RawData
chr11 Control
chr11 Ctcf
chr11 H2az
chr11 H3k27ac
chr11 H3k27me3
chr11 H3k36me3
chr11 H3k4me1
